F-PLE,F-STI,F-COM,F-DYN,F-PUB,LUM-0,LUM-25,LUM-50,LUM-75,LUM-100,SAT-0,SAT-25,SAT-50,SAT-75,SAT-100,RGB-R,RGB-G,RGB-B,ISO-0,ISO-25,ISO-50,ISO-75,ISO-100,LY-A,LY-B,SC-A,SC-B,OP
0.75,0.5,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.75,0.75,0,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0,0.5,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.75,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.25,0.75,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0,0.5,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.5,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.25,0.25,0.75,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.75,0.25,0,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.75,0.25,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.25,0.5,0.5,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.5,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0.5,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.75,0,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0,0.5,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.25,0.5,0,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.75,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.5,0.5,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0.25,0.5,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.25,0.25,0.75,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.75,0.5,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.75,0,0.75,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.5,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.5,0.25,0.75,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0.25,0.5,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.5,0,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.5,0.25,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0.25,0.5,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.5,0.5,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0,0.25,0,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0,0.75,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0.25,0,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.75,0.25,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.5,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.75,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.5,0.5,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0,0.5,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.75,0,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.75,0,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.5,0.25,0.5,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.25,0.25,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.75,0,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.25,0.5,0.5,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.5,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0,0.25,0.25,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0,0.25,0,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.75,0.25,0,0.25,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.75,0.5,0.25,0.75,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.5,0.5,0.25,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.75,0.25,0.25,0.25,0.5,0.384314,0.541176,0.592157,0.656863,0.907843,0,0.013575,0.019048,0.024096,0.276596,0.589624,0.594696,0.603772,0.087209,0.157222,0.210731,0.284933,1,0,0,0,0,1
0.25,0.5,0.25,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.25,0,0.75,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.25,0.25,0.75,0.5,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.75,0.5,0.25,0.5,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.5,0.25,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0,0.5,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.25,0.25,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.75,0.75,0.25,0.5,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.75,0.5,0.75,0.5,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.75,0.5,0.25,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.25,0.25,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.75,0.25,0.25,0.5,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.5,0.25,0.5,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.25,0.25,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.5,0.25,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.75,0.25,0.25,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.25,0.75,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.75,0.75,0.25,0.75,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.5,0.25,0.25,0.25,0.25,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
0.25,0.25,0.5,0.25,0.75,0.47451,0.590196,0.613725,0.721569,0.939216,0.004566,0.020408,0.034483,0.176471,0.470588,0.649537,0.661921,0.678772,0.155038,0.227851,0.312933,1,1,0,0,0,1,0
